12-19 10:54:49.941 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 11:00:41.479 15589 15801 D UvcStream: [stream.cpp:1485] no extant active transfers: continuing
12-19 11:00:41.479 15589 15801 D Uvc     : [stream.cpp:1471] ...()
12-19 11:00:41.479 15589 15801 D Uvc     : [stream.cpp:1189] uvc_stream_handle::stopIsochronousStreaming()...
12-19 11:00:41.479 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:825] uvc_device_handle::setInterfaceAltSetting(setInterfaceAltSetting(intf=1 alt=0))...
12-19 11:00:41.479 15589 15801 D UvcDevice: setInterfaceAltSetting(1,0)
12-19 11:00:41.480 15589 15801 D UvcDevice: setInterfaceAltSetting(1,0) succeeded
12-19 11:00:41.480 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:825] ...uvc_device_handle::setInterfaceAltSetting() rc=0
12-19 11:00:41.480 15589 15801 D Uvc     : [stream.cpp:1189] ...uvc_stream_handle::stopIsochronousStreaming() rc=0
12-19 11:00:41.480 15589 15801 D UvcStream: [stream.cpp:1558] awakening user thread
12-19 11:00:41.481 15589 15811 D UvcStream: [stream.cpp:1329] user callback thread stopped
12-19 11:00:41.481 15589 15801 D UvcStream: [stream.cpp:1567] waiting for user callback thread to finish
12-19 11:00:41.481 15589 15801 D Uvc     : [stream.cpp:1514] ...uvc_stream_stop() rc=0
12-19 11:00:41.481 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming: ...exit
12-19 11:00:41.481 15589 15801 D Uvc     : [jni_streamhandle.cpp:184] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming()
12-19 11:00:41.481 15589 15801 V UvcFrameCallback: destroy(hash=0x0c0857b6)
12-19 11:00:41.481 15589 15801 V UvcFrameCallbackData: destroy(pointer=0xc8c13f50)
12-19 11:00:41.482 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcFrameCallback_nativeReleaseCallbackState: enter...
12-19 11:00:41.482 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcFrameCallback_nativeReleaseCallbackState: ...exit
12-19 11:00:41.483 15589 15801 V UvcStreamHandle: destroy(pointer=0xcd825320)
12-19 11:00:41.483 15589 15801 D Uvc     : [jni_streamhandle.cpp:184] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming()...
12-19 11:00:41.483 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming: enter...
12-19 11:00:41.483 15589 15801 D Uvc     : [stream.cpp:1514] uvc_stream_stop()...
12-19 11:00:41.483 15589 15801 D Uvc     : [stream.cpp:1514] ...uvc_stream_stop() rc=0
12-19 11:00:41.483 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming: ...exit
12-19 11:00:41.483 15589 15801 D Uvc     : [jni_streamhandle.cpp:184] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming()
12-19 11:00:41.484 15589 15801 D Uvc     : [jni_streamhandle.cpp:200] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle()...
12-19 11:00:41.484 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle: enter...
12-19 11:00:41.484 15589 15801 D Uvc     : [stream.cpp:1584] uvc_stream_close()...
12-19 11:00:41.484 15589 15801 D Uvc     : [streamhandle.cpp:45] uvc_stream_handle::~uvc_stream_handle()...
12-19 11:00:41.484 15589 15801 D Uvc     : [streamhandle.cpp:66] uvc_stream_handle::releaseInterface()...
12-19 11:00:41.484 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:793] uvc_device_handle::releaseInterface()...
12-19 11:00:41.485 15589 15801 D UvcDevice: releaseInterface(1)
12-19 11:00:41.485 15589 15801 D UvcDevice: releaseInterface(1) succeeded
12-19 11:00:41.485 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:793] ...uvc_device_handle::releaseInterface() rc=0
12-19 11:00:41.485 15589 15801 D Uvc     : [streamhandle.cpp:66] ...uvc_stream_handle::releaseInterface()
12-19 11:00:41.485 15589 15801 D Uvc     : [streamhandle.cpp:45] ...uvc_stream_handle::~uvc_stream_handle()
12-19 11:00:41.485 15589 15801 D Uvc     : [stream.cpp:1584] ...uvc_stream_close()
12-19 11:00:41.485 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle: ...exit
12-19 11:00:41.485 15589 15801 D Uvc     : [jni_streamhandle.cpp:200] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle()
12-19 11:00:41.486 15589 15801 V UvcApiCameraCaptureSequence: destroy(hash=0x0318e078)
12-19 11:00:41.486 15589 15810 D RobotCore: capture sequence DelegatingCaptureSequenceId(1) reports completed: lastFrame=69
12-19 11:00:41.486 15589 15801 D UvcApiCaptureSession: ...stopCapture()
12-19 11:00:41.486 15589 15801 D UvcApiCaptureSession: doClose()...
12-19 11:00:41.488 15589 15808 D UsbResiliantWebcam|DelCaptureSession: camera session is closed: Webcam(D5386480)
12-19 11:00:41.488 15589 15801 D UvcApiCaptureSession: ...doClose()
12-19 11:00:41.490 15589 15801 V UvcApiCaptureSession: destroy(hash=0x020e5ddb)
12-19 11:00:41.490 15589 15801 D UvcApiCaptureSession: destructor...
12-19 11:00:41.490 15589 15801 D UvcApiCaptureSession: ...destructor
12-19 11:00:41.490 15589 15801 D UsbResiliantWebcam|DelCaptureSequence: ...undoStreaming()
12-19 11:00:41.491 15589 15801 V UsbResiliantWebcam|DelCaptureSequence: destroy(hash=0x098db6ea)
12-19 11:00:41.491 15589 15810 D RobotCore: capture sequence DelegatingCaptureSequenceId(1) reports completed: lastFrame=69
12-19 11:00:41.491 15589 15801 D UsbResiliantWebcam|DelCaptureSession: ...stopCapture()
12-19 11:00:41.491 15589 15801 D UsbResiliantWebcam|DelCaptureSession: doClose()...
12-19 11:00:41.492 15589 15801 D UsbResiliantWebcam|DelCaptureSession: ...doClose()
12-19 11:00:41.493 15589 15801 V UsbResiliantWebcam|DelCaptureSession: destroy(hash=0x037fd78c)
12-19 11:00:41.493 15589 15801 D UsbResiliantWebcam|DelCaptureSession: destructor()...
12-19 11:00:41.493 15589 15801 D UsbResiliantWebcam|DelCaptureSession: ...destructor()
12-19 11:00:41.493 15589 15801 V CameraImpl: destroy(hash=0x04ee7a19)
12-19 11:00:41.494 15589 15801 D UsbResiliantWebcam: CameraImpl.destructor()...
12-19 11:00:41.494 15589 15801 D UsbResiliantWebcam: externalDestructor()...
12-19 11:00:41.495 15589 15808 D CameraManager: camera reports closed: CameraImpl(UsbResiliantWebcam(Webcam(D5386480)))
12-19 11:00:41.496 15589 15801 V CameraImpl: destroy(hash=0x05a839cf)
12-19 11:00:41.497 15589 15801 D UvcDeviceHandle: CameraImpl.destructor()...
12-19 11:00:41.497 15589 15801 D UvcDeviceHandle: externalDestructor()...
12-19 11:00:41.498 15589 15801 D UsbResiliantWebcam: changeDelegatedCamera(CameraImpl(UvcDeviceHandle(pointer=0xc8c589c0|UvcDevice(/dev/bus/usb/003/003)))->null)...
12-19 11:00:41.498 15589 15801 D CachingExposureControl: onCameraChanged(CameraImpl(UvcDeviceHandle(pointer=0xc8c589c0|UvcDevice(/dev/bus/usb/003/003)))->null)...
12-19 11:00:41.499 15589 15801 D CachingExposureControl: ...onCameraChanged(CameraImpl(UvcDeviceHandle(pointer=0xc8c589c0|UvcDevice(/dev/bus/usb/003/003)))->null)
12-19 11:00:41.499 15589 15801 D UsbResiliantWebcam: ...changeDelegatedCamera(CameraImpl(UvcDeviceHandle(pointer=0xc8c589c0|UvcDevice(/dev/bus/usb/003/003)))->null)
12-19 11:00:41.499 15589 15801 D UvcDeviceHandle: ...externalDestructor()
12-19 11:00:41.500 15589 15801 V UvcDeviceHandle: destroy(pointer=0xc8c589c0)
12-19 11:00:41.500 15589 15801 D UvcDeviceHandle: destructor...
12-19 11:00:41.501 15589 15801 D Uvc     : [jni_devicehandle.cpp:87] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle()...
12-19 11:00:41.501 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle: enter...
12-19 11:00:41.501 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:872] uvc_device_handle::~uvc_device_handle()...
12-19 11:00:41.501 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:840] uvc_device_handle::deconstruct()...
12-19 11:00:41.501 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:751] uvc_device_handle::stop()...
12-19 11:00:41.501 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:751] ...uvc_device_handle::stop()
12-19 11:00:41.501 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:865] uvc_device_handle::close()...
12-19 11:00:41.501 15589 15801 E libusb  : [11.115436] [00003db9] libusb: error [do_close] Device handle closed while transfer was still being processed, but the device is still connected as far as we know
12-19 11:00:41.501 15589 15801 E libusb  : [11.115494] [00003db9] libusb: error [do_close] A cancellation hasn't even been scheduled on the transfer for which the device is closing
12-19 11:00:41.501 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:865] ...uvc_device_handle::close()
12-19 11:00:41.501 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:840] ...uvc_device_handle::deconstruct()
12-19 11:00:41.501 15589 15801 D Uvc     : [device.cpp:433] uvc_free_device_info()...
12-19 11:00:41.502 15589 15801 D Uvc     : [device.cpp:433] ...uvc_free_device_info()
12-19 11:00:41.502 15589 15801 D Uvc     : [libuvc/libuvc_internal.h:872] ...uvc_device_handle::~uvc_device_handle()
12-19 11:00:41.502 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle: ...exit
12-19 11:00:41.502 15589 15801 D Uvc     : [jni_devicehandle.cpp:87] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle()
12-19 11:00:41.502 15589 15801 V UvcDevice: destroy(pointer=0xc8e050d0|/dev/bus/usb/003/003)
12-19 11:00:41.502 15589 15801 D UsbDeviceConnectionJNI: close
12-19 11:00:41.503 15589 15801 D Uvc     : [jni_device.cpp:126] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice()...
12-19 11:00:41.503 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice: enter...
12-19 11:00:41.503 15589 15801 D Uvc     : [device.cpp:882] uvc_unref_device()...
12-19 11:00:41.504 15589 15801 D Uvc     : [device.cpp:882] ...uvc_unref_device()
12-19 11:00:41.504 15589 15801 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice: ...exit
12-19 11:00:41.504 15589 15801 D Uvc     : [jni_device.cpp:126] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice()
12-19 11:00:41.505 15589 15801 V LibUsbDevice: destroy(pointer=0xcd82c380)
12-19 11:00:41.505 15589 15801 D Uvc     : [jni_libusb_device.cpp:64] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_LibUsbDevice_nativeReleaseRefDevice()...
12-19 11:00:41.505 15589 15801 D Uvc     : [jni_libusb_device.cpp:64] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_LibUsbDevice_nativeReleaseRefDevice()
12-19 11:00:41.505 15589 15801 D UvcDeviceHandle: ...destructor
12-19 11:00:41.505 15589 15801 D UvcDeviceHandle: ...CameraImpl.destructor()
12-19 11:00:41.506 15589 15801 D UsbResiliantWebcam: ...externalDestructor()
12-19 11:00:41.506 15589 15801 V UsbResiliantWebcam: destroy(hash=0x0cebf030)
12-19 11:00:41.507 15589 15801 D UsbResiliantWebcam: destructor()...
12-19 11:00:41.507 15589 15801 D UsbResiliantWebcam: ...destructor()
12-19 11:00:41.507 15589 15801 D UsbResiliantWebcam: ...CameraImpl.destructor()
12-19 11:00:41.567 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.574 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.578 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.586 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.590 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.602 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.606 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.613 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.618 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.626 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.631 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.638 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.642 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.649 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.653 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.662 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.666 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.675 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.679 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.686 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 140.0, Blue = 257.0
12-19 11:00:41.690 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.703 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.707 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.715 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.719 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.726 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.730 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.737 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.741 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.748 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.753 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.760 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.765 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.771 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.776 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.783 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 143.0, Blue = 258.0
12-19 11:00:41.787 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.800 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 258.0
12-19 11:00:41.804 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.811 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.816 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.824 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.828 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.835 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.839 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.846 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.850 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.857 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.861 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.868 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.872 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.879 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.884 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.890 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 153.0, Blue = 272.0
12-19 11:00:41.895 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.905 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.909 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.918 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.924 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.930 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.935 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.943 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.947 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.954 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.959 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.966 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.971 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.978 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.983 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:41.990 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 170.0, Blue = 289.0
12-19 11:00:41.995 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:42.007 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 159.0, Blue = 269.0
12-19 11:00:42.012 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:42.019 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 159.0, Blue = 269.0
12-19 11:00:42.024 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:42.031 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 159.0, Blue = 269.0
12-19 11:00:42.037 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:42.044 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 159.0, Blue = 269.0
12-19 11:00:42.054 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:42.061 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 159.0, Blue = 269.0
12-19 11:00:42.076 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:42.083 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 159.0, Blue = 269.0
12-19 11:00:42.087 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
12-19 11:00:42.095 15589 15801 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 159.0, Blue = 269.0
12-19 11:00:42.100 15589 15801 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.40), FR (0.40), BL (0.40), BR (0.40)
